epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3552,2.01713,5.70742,1.98827,0.00802,0.49,0.03076,0.01492,1.71532,5.21624,1.99996,3.333e-05,3.333e-05,3.333e-05
2,22.7427,1.91893,5.90294,1.89809,0.00762,0.49,0.0452,0.01765,1.74103,5.34285,1.99325,7.70001e-05,7.70001e-05,7.70001e-05
3,26.3152,1.78345,4.84147,1.75937,0.29988,0.4661,0.42633,0.30383,0.98886,5.44008,1.34389,0.00011979,0.00011979,0.00011979
4,30.3575,1.33057,3.01394,1.36578,0.56165,0.61,0.65077,0.52878,0.75628,4.17926,1.11226,0.0001617,0.0001617,0.0001617
5,34.3498,1.03101,2.26168,1.1555,0.68803,0.82219,0.73253,0.60224,0.82852,2.58891,1.13103,0.000202731,0.000202731,0.000202731
6,38.3834,1.07536,2.10627,1.22546,0.75445,0.71,0.68888,0.55866,0.92943,2.19283,1.15216,0.000242881,0.000242881,0.000242881
7,42.143,1.1215,1.96469,1.25725,0.79895,0.85,0.89452,0.66967,0.91277,1.7204,1.10822,0.000282152,0.000282152,0.000282152
8,46.2911,0.98262,1.67613,1.13154,0.79124,0.82918,0.91357,0.73549,0.9246,2.11696,1.08109,0.000320542,0.000320542,0.000320542
9,50.3494,0.97473,1.73766,1.15573,0.67919,0.72784,0.81368,0.61818,0.97931,3.0972,1.08385,0.000358053,0.000358053,0.000358053
10,54.0892,1.00334,1.59814,1.15935,0.73012,0.78788,0.8864,0.68721,0.957,3.0003,1.12671,0.000394684,0.000394684,0.000394684
11,61.4648,1.00695,1.64673,1.16521,0.81307,0.88371,0.90553,0.70488,0.94003,2.81369,1.17961,0.000430435,0.000430435,0.000430435
12,66.0344,0.9497,1.50905,1.10642,0.86996,0.9,0.91722,0.73552,0.85351,1.9901,1.16945,0.000465306,0.000465306,0.000465306
13,71.8002,1.06417,1.39322,1.23132,0.77712,0.7,0.875,0.60727,1.12807,4.43872,1.359,0.000499297,0.000499297,0.000499297
14,76.722,1.06007,1.39213,1.22002,0.49712,0.82686,0.7633,0.60215,1.0007,6.81695,1.25148,0.000532408,0.000532408,0.000532408
15,81.691,1.05967,1.47039,1.19538,0.8374,0.77176,0.94167,0.71589,0.91232,1.57738,1.24534,0.000564639,0.000564639,0.000564639
16,86.4999,0.95227,1.17661,1.15543,0.65767,0.98219,0.935,0.71359,0.87351,1.34391,1.25849,0.00059599,0.00059599,0.00059599
17,91.6876,0.84326,1.09406,1.05974,0.59881,0.97366,0.862,0.68595,0.85002,2.18897,1.25422,0.000626462,0.000626462,0.000626462
18,96.4812,0.97853,1.25774,1.1746,0.53872,0.77719,0.89833,0.69228,0.90669,3.19749,1.26007,0.000656053,0.000656053,0.000656053
19,101.139,1.02326,1.20185,1.17283,0.89738,0.65,0.87652,0.67216,0.99281,2.03533,1.30297,0.000684765,0.000684765,0.000684765
20,106.303,1.10844,1.31083,1.23464,0.80984,0.73174,0.84989,0.63541,0.99815,1.48005,1.25247,0.000712597,0.000712597,0.000712597
21,111.447,0.92656,1.11088,1.16304,0.73459,0.74344,0.85463,0.60296,1.05686,3.47003,1.3628,0.000739548,0.000739548,0.000739548
22,116.5,0.95131,1.23552,1.17186,0.80504,0.84565,0.88845,0.62725,1.10323,1.53367,1.36526,0.00076562,0.00076562,0.00076562
23,121.71,0.98156,0.99097,1.15973,0.68797,0.88549,0.95024,0.69966,1.04711,1.28621,1.27282,0.000790812,0.000790812,0.000790812
24,126.196,0.92755,1.13227,1.09402,0.78935,0.86785,0.97167,0.70752,0.97494,1.36919,1.23148,0.000815124,0.000815124,0.000815124
25,131.328,0.88188,1.0415,1.10186,0.83028,0.8305,0.93979,0.72446,0.9703,1.21817,1.30067,0.000838556,0.000838556,0.000838556
26,136.685,0.85528,0.9313,1.0683,0.8091,0.86432,0.90587,0.68227,1.04922,1.21978,1.38679,0.000836027,0.000836027,0.000836027
